cuenta;descripcion;idcategoria;tipocontabilizacion;tiposaldo;idMoneda;usuario;fechacracion;fechamodificacion
600-6100-00;Training - Purchasing/Receiving;37;1;1;;luis;30/10/2020;30/10/2020
600-6120-00;Supplies/Rental - Purchasing/Receiving;35;1;1;;luis;30/10/2020;30/10/2020
600-6130-00;Supplies/Hardware - Purchasing/Receiving;35;1;1;;luis;30/10/2020;30/10/2020
600-6140-00;Supplies/Software - Purchases/Receiving;35;1;1;;luis;30/10/2020;30/10/2020
600-6150-00;Supplies-Allocated - Purchases/Receiving;35;1;1;;luis;30/10/2020;30/10/2020
600-6160-00;Dues & Subscriptions - Purchasing/Receiving;35;1;1;;luis;30/10/2020;30/10/2020
600-6170-00;Repairs & Maintenance - Purchasing/Receiving;35;1;1;;luis;30/10/2020;30/10/2020
600-6180-00;Rent Expense - Purchasing/Receiving;35;1;1;;luis;30/10/2020;30/10/2020
600-6190-00;Utilities Expense - Purchasing/Receiving;35;1;1;;luis;30/10/2020;30/10/2020
600-6500-00;Postage/Freight - Purchasing/Receiving;35;1;1;;luis;30/10/2020;30/10/2020
600-6510-00;Telephone - Purchasing/Receiving;35;1;1;;luis;30/10/2020;30/10/2020
600-6520-00;Travel - Purchasing/Receiving;35;1;1;;luis;30/10/2020;30/10/2020
600-6530-00;Meals/Entertainment - Purchasing/Receiving;35;1;1;;luis;30/10/2020;30/10/2020
000-6190-00;Utilities Expense;0;1;1;;luis;30/10/2020;30/10/2020
100-9010-00;Square Footage-Administration;0;1;1;;luis;30/10/2020;30/10/2020
200-9010-00;Square Footage-Accounting;0;1;1;;luis;30/10/2020;30/10/2020
300-9010-00;Square Footage-Sales;0;1;1;;luis;30/10/2020;30/10/2020
400-9010-00;Square Footage-Service;0;1;1;;luis;30/10/2020;30/10/2020
500-9010-00;Square Footage-Consulting/Training;0;1;1;;luis;30/10/2020;30/10/2020
600-9010-00;Square Footage-Purchasing/Receiving;0;1;1;;luis;30/10/2020;30/10/2020
100-9020-00;Employee Count-Administration;0;1;1;;luis;30/10/2020;30/10/2020
200-9020-00;Employee Count-Accounting;0;1;1;;luis;30/10/2020;30/10/2020
300-9020-00;Employee Count-Sales;0;1;1;;luis;30/10/2020;30/10/2020
400-9020-00;Employee Count-Service/Installation;0;1;1;;luis;30/10/2020;30/10/2020
500-9020-00;Employee Count-Consulting/Training;0;1;1;;luis;30/10/2020;30/10/2020
600-9020-00;Employee Count-Purchases/Receiving;0;1;1;;luis;30/10/2020;30/10/2020
100-9030-00;Fixed Assets-Computer Cabinets;0;1;1;;luis;30/10/2020;30/10/2020
200-9030-00;Fixed Assets- Computer Cabinets;0;1;1;;luis;30/10/2020;30/10/2020
300-9030-00;Fixed Assets- Computer Cabinets;0;1;1;;luis;30/10/2020;30/10/2020
400-9030-00;Fixed Assets-Computer Cabinets;0;1;1;;luis;30/10/2020;30/10/2020
500-9030-00;Fixed Assets- Computer Cabinets;0;1;1;;luis;30/10/2020;30/10/2020
600-9030-00;Fixed Assets-Computer Cabinets;0;1;1;;luis;30/10/2020;30/10/2020
000-9040-00;Number of Telephone Installations;0;1;1;;luis;30/10/2020;30/10/2020
000-6180-00;Rent Expense;0;1;1;;luis;30/10/2020;30/10/2020
000-7100-00;Realized Gain on MC Transactions;43;1;1;;luis;30/10/2020;30/10/2020
000-8200-00;Realized Loss on MC Transactions;42;1;1;;luis;30/10/2020;30/10/2020
000-7200-00;Unrealized Gain on MC Transactions;43;1;1;;luis;30/10/2020;30/10/2020
000-8300-00;Unrealized Loss on MC Transactions;42;1;1;;luis;30/10/2020;30/10/2020
000-1800-00;Revaluation Offset for Fin. Revaluation;12;1;1;;luis;30/10/2020;30/10/2020
000-1270-00;Accounts Receivable-MC Trx;3;1;1;;luis;30/10/2020;30/10/2020
000-2101-00;Accounts Payable-MC Trx;13;1;1;;luis;30/10/2020;30/10/2020
000-7300-00;Rounding Writeoff due to MC Trx;43;1;1;;luis;30/10/2020;30/10/2020
000-7400-00;Rounding Difference due to MC Trx;43;1;1;;luis;30/10/2020;30/10/2020
000-1101-00;Cash in Bank - Canada;1;1;1;;luis;30/10/2020;30/10/2020
000-1103-00;Cash in Bank - New Zealand;1;1;1;;luis;30/10/2020;30/10/2020
000-1105-00;Cash in Bank - United Kingdom;1;1;1;;luis;30/10/2020;30/10/2020
000-1102-00;Cash in Bank - Australia;1;1;1;;luis;30/10/2020;30/10/2020
000-1104-00;Cash in Bank - Germany;1;1;1;;luis;30/10/2020;30/10/2020
000-1106-00;Cash in Bank - South Africa;1;1;1;;luis;30/10/2020;30/10/2020
000-1107-00;Cash in Bank - Singapore;1;1;1;;luis;30/10/2020;30/10/2020
000-4114-01;Germany Sales - Retail/Parts;31;1;1;;luis;30/10/2020;30/10/2020
000-4114-02;Germany Sales - Finished Goods;31;1;1;;luis;30/10/2020;30/10/2020
000-4115-01;United Kingdom Sales - Retail/Parts;31;1;1;;luis;30/10/2020;30/10/2020
000-4115-02;United Kingdom Sales - Finished Goods;31;1;1;;luis;30/10/2020;30/10/2020
000-4116-01;South Africa - Retail/Parts;31;1;1;;luis;30/10/2020;30/10/2020
000-4116-02;South Africa Sales - Finished Goods;31;1;1;;luis;30/10/2020;30/10/2020
000-4117-01;Singapore Sales - Retail/Parts;31;1;1;;luis;30/10/2020;30/10/2020
000-4117-02;Singapore Sales - Finished Goods;31;1;1;;luis;30/10/2020;30/10/2020
000-4124-00;Germany Sales - Service Plans;31;1;1;;luis;30/10/2020;30/10/2020
000-4125-00;United Kingdom Sales - Service Plans;31;1;1;;luis;30/10/2020;30/10/2020
000-4126-00;South Africa Sales - Service Plans;31;1;1;;luis;30/10/2020;30/10/2020
000-4127-00;Singapore Sales - Service Plans;31;1;1;;luis;30/10/2020;30/10/2020
000-4134-00;Germany Sales - Installation Charges;31;1;1;;luis;30/10/2020;30/10/2020
000-4135-00;United Kingdom Sales - Installation Charges;31;1;1;;luis;30/10/2020;30/10/2020
000-4137-00;Singapore Sales - Installation Charges;31;1;1;;luis;30/10/2020;30/10/2020
000-4179-00;United Kingdom Sales Discount;31;1;1;;luis;30/10/2020;30/10/2020
000-4178-00;Singapore Sales Discount;31;1;1;;luis;30/10/2020;30/10/2020
000-4177-00;Germany Sales Discount;31;1;1;;luis;30/10/2020;30/10/2020
000-4176-00;South Africa Sales Discount;31;1;1;;luis;30/10/2020;30/10/2020
000-4186-00;United Kingdom Trade Discount;31;1;1;;luis;30/10/2020;30/10/2020
000-4187-00;Singapore Trade Discount;31;1;1;;luis;30/10/2020;30/10/2020
000-4188-00;Germany Trade Discount;31;1;1;;luis;30/10/2020;30/10/2020
000-4189-00;South Africa Trade Discount;31;1;1;;luis;30/10/2020;30/10/2020
000-7201-00;Unrealized Gain on MC Transactions-Canada;43;1;1;;luis;30/10/2020;30/10/2020
000-8301-00;Unrealized Loss on MC Transactions - Canada;42;1;1;;luis;30/10/2020;30/10/2020
000-1271-00;Accounts Receivable - Canada;3;1;1;;luis;30/10/2020;30/10/2020
000-2101-01;Accounts Payable - Canada;13;1;1;;luis;30/10/2020;30/10/2020
000-7301-00;Rounding Writeoff - Canada;43;1;1;;luis;30/10/2020;30/10/2020
000-7401-00;Rounding Difference - Canada;43;1;1;;luis;30/10/2020;30/10/2020
000-7202-00;Unrealized Gain on MC Transactions - Australia;43;1;1;;luis;30/10/2020;30/10/2020
000-8302-00;Unrealized Loss on MC Transactions - Australia;42;1;1;;luis;30/10/2020;30/10/2020
000-1272-00;Accounts Receivables - Australia;3;1;1;;luis;30/10/2020;30/10/2020
000-2101-02;Accounts Payable - Australia;13;1;1;;luis;30/10/2020;30/10/2020
000-7302-00;Rounding Writeoff - Australia;43;1;1;;luis;30/10/2020;30/10/2020
000-7203-00;Unrealized Gain on MC Transactions - New Zealand;43;1;1;;luis;30/10/2020;30/10/2020
000-8303-00;Unrealized Loss on MC Transactions - New Zealand;42;1;1;;luis;30/10/2020;30/10/2020
000-1273-00;Accounts Receivable - New Zealand;3;1;1;;luis;30/10/2020;30/10/2020
000-2101-03;Accounts Payable - New Zealand;13;1;1;;luis;30/10/2020;30/10/2020
000-7303-00;Rounding Writeoff - New Zealand;43;1;1;;luis;30/10/2020;30/10/2020
000-7403-00;Rounding Difference - New Zealand;43;1;1;;luis;30/10/2020;30/10/2020
000-7204-00;Unrealized Gain on MC Transactions - Germany;43;1;1;;luis;30/10/2020;30/10/2020
000-8304-00;Unrealized Loss on MC Transactions - Germany;42;1;1;;luis;30/10/2020;30/10/2020
000-1274-00;Accounts Receivable - Germany;3;1;1;;luis;30/10/2020;30/10/2020
000-2101-04;Accounts Payable - Germany;13;1;1;;luis;30/10/2020;30/10/2020
000-7304-00;Rounding Writeoff - Germany;43;1;1;;luis;30/10/2020;30/10/2020
000-7404-00;Rounding Difference - Germany;43;1;1;;luis;30/10/2020;30/10/2020
000-7205-00;Unrealized Gain on MC Transactions - United Kingdo;43;1;1;;luis;30/10/2020;30/10/2020
000-8305-00;Unrealized Loss on MC Transactions - United Kingdo;42;1;1;;luis;30/10/2020;30/10/2020
000-1275-00;Accounts Receivable - United Kingdom;3;1;1;;luis;30/10/2020;30/10/2020
000-2101-05;Accounts Payable - United Kingdom;13;1;1;;luis;30/10/2020;30/10/2020
000-7305-00;Rounding Writeoff - United Kingdom;43;1;1;;luis;30/10/2020;30/10/2020
000-7405-00;Rounding Difference - United Kingdom;43;1;1;;luis;30/10/2020;30/10/2020
000-7206-00;Unrealized Gain on MC Transactions - South Africa;43;1;1;;luis;30/10/2020;30/10/2020
000-8306-00;Unrealized Loss on MC Transactions - South Africa;42;1;1;;luis;30/10/2020;30/10/2020
000-1276-00;Accounts Receivable - South Africa;3;1;1;;luis;30/10/2020;30/10/2020
000-2101-06;Accounts Payable - South Africa;13;1;1;;luis;30/10/2020;30/10/2020
000-7306-00;Rounding Writeoff - South Africa;43;1;1;;luis;30/10/2020;30/10/2020
000-7406-00;Rounding Difference - South Africa;43;1;1;;luis;30/10/2020;30/10/2020
000-7207-00;Unrealized Gain on MC Transactions - Singapore;43;1;1;;luis;30/10/2020;30/10/2020
000-8307-00;Unrealized Loss on MC Transactions - Singapore;42;1;1;;luis;30/10/2020;30/10/2020
000-1277-00;Accounts Receivable - Singapore;3;1;1;;luis;30/10/2020;30/10/2020
000-2101-07;Accounts Payable - Singapore;13;1;1;;luis;30/10/2020;30/10/2020
000-7307-00;Rounding Writeoff - Singapore;43;1;1;;luis;30/10/2020;30/10/2020
000-7407-00;Rounding Difference - Singapore;43;1;1;;luis;30/10/2020;30/10/2020
000-7101-00;Realized Gain on MC Transactions - Z - C$ - SELL;43;1;1;;luis;30/10/2020;30/10/2020
000-8201-00;Realized Loss on MC Transactions - Z - C$ - SELL;42;1;1;;luis;30/10/2020;30/10/2020
000-7102-00;Realized Gain on MC Transactions - Z - C$ - BUY;43;1;1;;luis;30/10/2020;30/10/2020
000-8202-00;Realized Loss on MC Transactions - Z - C$ - BUY;42;1;1;;luis;30/10/2020;30/10/2020
000-7103-00;Realized Gain on MC Transactions - Z - C$ - AVG;43;1;1;;luis;30/10/2020;30/10/2020
000-8203-00;Realized Loss on MC Transactions - Z - C$ - AVG;42;1;1;;luis;30/10/2020;30/10/2020
000-7402-00;Rounding Difference - Australia;43;1;1;;luis;30/10/2020;30/10/2020
000-4136-00;South Africa Sales - Installation Charges;31;1;1;;luis;30/10/2020;30/10/2020
999-9999-99;Transfer Suspense Account;48;1;1;;luis;30/10/2020;30/10/2020
000-1320-01;Non-inventoried item;5;1;1;;luis;30/10/2020;30/10/2020
000-2740-00;Advances from Customers;21;1;1;;luis;30/10/2020;30/10/2020
000-2730-00;Purchases Clearing Account;13;1;1;;luis;30/10/2020;30/10/2020
000-2735-00;Purchases Clearing Acct for Inventory;5;1;1;;luis;30/10/2020;30/10/2020
000-4730-00;Purchase Price Variance - Unrealized;13;1;1;;luis;30/10/2020;30/10/2020
000-2111-00;Accrued Purchases;13;1;1;;luis;30/10/2020;30/10/2020
000-5700-00;Non-Inventoried Purchase Item;42;1;1;;luis;30/10/2020;30/10/2020
000-1330-01;Inventory Returns - Retail/Parts;5;1;1;;luis;30/10/2020;30/10/2020
000-1330-02;Inventory Returns - Finished Goods;5;1;1;;luis;30/10/2020;30/10/2020
000-1330-03;Inventory Returns - Warehouse;5;1;1;;luis;30/10/2020;30/10/2020
000-1190-00;Cash Suspense;1;1;1;;luis;30/10/2020;30/10/2020
000-1590-00;FA Clearing;9;1;1;;luis;30/10/2020;30/10/2020
000-4740-00;Assembly Variance;42;1;1;;luis;30/10/2020;30/10/2020
000-1390-00;Standard Cost Revaluation;5;1;1;;luis;30/10/2020;30/10/2020
000-1370-01;Applied - Material Fixed OH;6;1;1;;luis;30/10/2020;30/10/2020
000-1370-02;Applied - Material Var. OH;6;1;1;;luis;30/10/2020;30/10/2020
000-4750-04;Variance - Labor;5;1;1;;luis;30/10/2020;30/10/2020
000-4750-05;Variance - Labor Fixed OH;5;1;1;;luis;30/10/2020;30/10/2020
000-4750-06;Variance - Labor Var. OH;5;1;1;;luis;30/10/2020;30/10/2020
000-4750-07;Variance - Machine;5;1;1;;luis;30/10/2020;30/10/2020
000-4750-08;Variance - Mach. Fixed OH;5;1;1;;luis;30/10/2020;30/10/2020
000-4750-09;Variance - Mach. Var OH;5;1;1;;luis;30/10/2020;30/10/2020
000-4750-01;Variance - Material;5;1;1;;luis;30/10/2020;30/10/2020
000-4750-02;Variance - Mat. Fixed OH;5;1;1;;luis;30/10/2020;30/10/2020
000-4750-03;Variance - Mat. Var. OH;5;1;1;;luis;30/10/2020;30/10/2020
000-1360-01;WIP - Material;6;1;1;;luis;30/10/2020;30/10/2020
000-1360-02;WIP - Material Fixed OH;6;1;1;;luis;30/10/2020;30/10/2020
000-1360-03;WIP - Material Var. OH;6;1;1;;luis;30/10/2020;30/10/2020
000-1360-04;WIP - Labor;6;1;1;;luis;30/10/2020;30/10/2020
000-1360-05;WIP - Labor Fixed OH;6;1;1;;luis;30/10/2020;30/10/2020
000-1360-06;WIP - Labor Var. OH;6;1;1;;luis;30/10/2020;30/10/2020
000-1360-07;WIP - Machine;6;1;1;;luis;30/10/2020;30/10/2020
000-1360-08;WIP - Machine Fixed OH;6;1;1;;luis;30/10/2020;30/10/2020
000-1360-09;WIP - Machine Var. OH;6;1;1;;luis;30/10/2020;30/10/2020
000-4520-01;CoGS - Material;33;1;1;;luis;30/10/2020;30/10/2020
000-4520-02;CoGS - Material Fixed OH;33;1;1;;luis;30/10/2020;30/10/2020
000-4520-03;CoGS - Material Var. OH;33;1;1;;luis;30/10/2020;30/10/2020
000-4520-04;CoGS - Labor;33;1;1;;luis;30/10/2020;30/10/2020
000-4520-05;CoGS - Labor Fixed OH;33;1;1;;luis;30/10/2020;30/10/2020
000-4520-06;CoGS - Labor Var. OH;33;1;1;;luis;30/10/2020;30/10/2020
000-4520-07;CoGS - Machine;33;1;1;;luis;30/10/2020;30/10/2020
000-4520-08;CoGS - Machine Fixed OH;33;1;1;;luis;30/10/2020;30/10/2020
000-4520-09;CoGS - Machine Var. OH;33;1;1;;luis;30/10/2020;30/10/2020
000-1350-02;Inventory - Mat. Fixed OH;5;1;1;;luis;30/10/2020;30/10/2020
000-1350-03;Inventory - Mat. Var. OH;5;1;1;;luis;30/10/2020;30/10/2020
000-1350-04;Inventory - Labor;5;1;1;;luis;30/10/2020;30/10/2020
000-1350-05;Inventory - Labor Fixed OH;5;1;1;;luis;30/10/2020;30/10/2020
000-1350-06;Inventory - Labor Var. OH;5;1;1;;luis;30/10/2020;30/10/2020
000-1350-07;Inventory - Machine;5;1;1;;luis;30/10/2020;30/10/2020
000-1350-08;Inventory - Mach. Fixed OH;5;1;1;;luis;30/10/2020;30/10/2020
000-1350-09;Inventory - Mach. Var. OH;5;1;1;;luis;30/10/2020;30/10/2020
000-2950-00;PPV - Realized;13;1;1;;luis;30/10/2020;30/10/2020
000-2950-01;PPV - Unrealized;13;1;1;;luis;30/10/2020;30/10/2020
000-1380-04;Labor Applied;6;1;1;;luis;30/10/2020;30/10/2020
000-1380-05;Applied - Labor Fixed OH;6;1;1;;luis;30/10/2020;30/10/2020
000-1380-06;Applied - Labor Var. OH;6;1;1;;luis;30/10/2020;30/10/2020
000-1380-07;Machine - Applied;6;1;1;;luis;30/10/2020;30/10/2020
000-1380-08;Applied - Mach. Fixed OH;6;1;1;;luis;30/10/2020;30/10/2020
000-1380-09;Applied - Mach. Var. OH;6;1;1;;luis;30/10/2020;30/10/2020
000-7410-00;MFG Rounding;5;1;1;;luis;30/10/2020;30/10/2020
000-1312-00;Inventory Offset;5;1;1;;luis;30/10/2020;30/10/2020
000-5615-00;Floor Stock Expense;42;1;1;;luis;30/10/2020;30/10/2020
000-4731-00;Withholding offset;42;1;1;;luis;30/10/2020;30/10/2020
000-1340-01;Work in Progress;6;1;1;;luis;30/10/2020;30/10/2020
000-4530-01;Cost of Goods Sold/Expense;33;1;1;;luis;30/10/2020;30/10/2020
000-2014-01;Contra Accounts for Costs;21;1;1;;luis;30/10/2020;30/10/2020
000-1280-00;Unbilled Accounts Receivable;3;1;1;;luis;30/10/2020;30/10/2020
000-4280-01;Unbilled Project Revenue;31;1;1;;luis;30/10/2020;30/10/2020
000-4200-00;Project Revenue/Sales;31;1;1;;luis;30/10/2020;30/10/2020
000-4800-00;Overhead;21;1;1;;luis;30/10/2020;30/10/2020
000-4210-01;Project Billings;31;1;1;;luis;30/10/2020;30/10/2020
000-6800-01;Project Expenses;34;1;1;;luis;30/10/2020;30/10/2020
000-4500-01;Project Revenue;31;1;1;;luis;30/10/2020;30/10/2020
000-6900-00;Project Losses;21;1;1;;luis;30/10/2020;30/10/2020
000-8410-00;Billings in Excess of Earnings;21;1;1;;luis;30/10/2020;30/10/2020
000-8510-00;Earnings in Excess of Billings;12;1;1;;luis;30/10/2020;30/10/2020
000-8610-00;Project Deferred Revenue;43;1;1;;luis;30/10/2020;30/10/2020
000-8710-00;Retentions Account Receivable;27;1;1;;luis;30/10/2020;30/10/2020
